epoch,acc,loss,lr,val_acc,val_loss
0,0.729875,0.931285672575,0.001,0.637625,1.4442809425
1,0.875945726222,0.392068046392,0.001,0.7728125,0.914604902983
2,0.907396986148,0.29383996435,0.001,0.597546473061,2.39931887889
3,0.921465641218,0.24988118327,0.001,0.81,0.762315809667
4,0.929844306877,0.219598303853,0.001,0.914752456656,0.2805554674
5,0.941161758236,0.183521797465,0.001,0.948375,0.167383263678
6,0.939035828108,0.192900168732,0.001,0.882875,0.404779593807
7,0.94722691174,0.168763779156,0.001,0.93953808601,0.203838012912
8,0.955480522695,0.141215675499,0.001,0.8060625,0.871680294201
9,0.956606015098,0.132954344091,0.001,0.871189835426,0.663921499407
10,0.957543925434,0.131531441734,0.001,0.885,0.420826949563
11,0.961170512032,0.121456075434,0.001,0.91162295801,0.375476195395
12,0.983617832802,0.0518173376477,0.0002,0.9866875,0.0414049806454
13,0.986931782621,0.0377537363122,0.0002,0.9894375,0.0352462947233
14,0.991621334334,0.0269430908779,0.0002,0.989422294548,0.0342819493846
15,0.990120677797,0.0276642999662,0.0002,0.9894375,0.0400685234614
16,0.990370787219,0.0283717566201,0.0002,0.983851786944,0.0509657222788
17,0.991058588132,0.0270804276693,0.0002,0.9885,0.0420380563449
18,0.990808478702,0.0269579798247,0.0002,0.990173374225,0.0368671425257
19,0.991246170166,0.0253833870753,0.0002,0.9839375,0.0538901373156
