epoch,acc,loss,lr,val_acc,val_loss
0,0.7576875,0.850008889519,0.001,0.6651875,1.4263459388
1,0.898511755938,0.318656466547,0.001,0.8161875,0.678095106751
2,0.923649324692,0.236341997843,0.001,0.821243036869,0.891791061764
3,0.93728114057,0.194409667872,0.001,0.366875,5.11901207304
4,0.942846423212,0.178275079389,0.001,0.894097765545,0.360295292526
5,0.952038519289,0.150672386884,0.001,0.8625,0.562148386603
6,0.954164582351,0.138574694215,0.001,0.9203125,0.282770751425
7,0.956915957979,0.136014498424,0.001,0.965638104813,0.108089934684
8,0.959729864932,0.119715329135,0.001,0.855375,0.702638852589
9,0.964544772446,0.111234408831,0.001,0.896601364461,0.373410995728
10,0.964732366213,0.10078734854,0.001,0.7471875,1.29673665911
11,0.962731365713,0.120094945762,0.001,0.828253113859,0.692357790883
12,0.969234617309,0.0968424600199,0.001,0.945375,0.194445575412
13,0.971110555278,0.0863229971346,0.001,0.9546875,0.152600158071
14,0.988619309655,0.0322775998217,0.0002,0.991299993741,0.0310499309976
15,0.993809404702,0.0176908212323,0.0002,0.99325,0.0199337906804
16,0.994434717359,0.0165360598953,0.0002,0.994617262315,0.0197964970834
17,0.993559279699,0.0173618809436,0.0002,0.9943125,0.0188329625508
18,0.994372186093,0.0162324231307,0.0002,0.990298554172,0.0339774440143
19,0.993434217168,0.017684461554,0.0002,0.9939375,0.0253396876974
