epoch,acc,loss,lr,val_acc,val_loss
0,0.6461875,1.23120537794,0.001,0.404875,3.99112018418
1,0.811803730159,0.584222205665,0.001,0.661747232852,1.32335059011
2,0.850125,0.448610686004,0.001,0.7836875,0.796542207822
3,0.873200650925,0.382291384835,0.001,0.767056469353,0.852947280313
4,0.891625,0.326901644491,0.001,0.785,0.906728691012
5,0.899549380383,0.301354866155,0.001,0.8522293791,0.597792087673
6,0.902553511085,0.293911407977,0.001,0.86554937151,0.433166661094
7,0.9191875,0.251093965054,0.001,0.734125,1.04867216003
8,0.917574164461,0.244091513772,0.001,0.852854730801,0.514368031819
9,0.9228125,0.230829227451,0.001,0.85125,0.643506120414
10,0.930842408297,0.203420313816,0.001,0.867,0.491664129633
11,0.929340342957,0.207921496775,0.001,0.874304296211,0.503148722306
12,0.9295625,0.20771967441,0.001,0.7950625,0.738222040579
13,0.932845162105,0.201124804561,0.001,0.927709336502,0.225168031372
14,0.9405625,0.173913462657,0.001,0.8335625,0.643637352347
15,0.940668419084,0.179585579862,0.001,0.9115625,0.299022511436
16,0.943672549756,0.167272388247,0.001,0.924269901865,0.282867210524
17,0.950625,0.149382767878,0.001,0.8304375,0.804623866867
18,0.949680811115,0.153893173045,0.001,0.893752735959,0.43815458226
19,0.9474375,0.151517127935,0.001,0.908385967121,0.339712276875
