epoch,acc,loss,lr,val_acc,val_loss
0,0.7470625,0.884062556773,0.001,0.7023125,1.30239823997
1,0.8824375,0.364565336771,0.001,0.75544022017,0.946989884819
2,0.918945984891,0.251814154665,0.001,0.881503251626,0.495494797043
3,0.9328125,0.212963432951,0.001,0.9126875,0.292466935266
4,0.937597796844,0.198716790059,0.001,0.935875,0.215876275261
5,0.94475,0.169378597487,0.001,0.777125,0.829835518971
6,0.9500625,0.156473742987,0.001,0.86568284148,0.515222663044
7,0.955498529143,0.14293531052,0.001,0.854427213607,0.546863854491
8,0.9578125,0.133665535266,0.001,0.900512756438,0.359714171095
9,0.958690617763,0.133541670405,0.001,0.918396698409,0.28219100818
10,0.96275,0.113434287848,0.001,0.902076038019,0.367236937017
11,0.98216185767,0.0548579933526,0.0002,0.993184092046,0.0204518045914
12,0.9904375,0.030416765817,0.0002,0.99455977989,0.0171105684167
13,0.9905,0.0288221019244,0.0002,0.993934467234,0.0175206254816
14,0.990987043876,0.0253704200464,0.0002,0.988869434717,0.0348534123726
15,0.99075,0.0272645624536,0.0002,0.994309654827,0.0154406367614
16,0.992927333041,0.0249317810454,0.0002,0.98768134067,0.035583402794
17,0.99125,0.0266133295228,0.0002,0.995497748874,0.0161784002323
18,0.990875,0.0268634939309,0.0002,0.991183091605,0.0260022642117
19,0.994053952557,0.0196672272435,0.0002,0.994747373687,0.0156600314029
